183;xml-id;auswahl;sender-1;sender-2;recipient-1;recipient-2;sender-placeName;recipient-placeName;date-cert;date-when;date-from;date-to;date-notBefore;date-notAfter;incipit;Handschrift- oder Abschriftennachweis;Umfang;Drucknachweis
n;;UN;Ferdinand Gregorovius;;Natalie Skrzeczka;;Rom;Königsberg;low;1857-00-00;;;;;"hier ist eine Bitte an Sie; das einliegende Goldstück lassen Sie doch der armen Clara Fleury zukommen";h (Hermann Elgnowski): BSB München, NL Gregorovius, Gregoroviusiana 20, Skrczecka, Natalie;;Ferdinand Gregorovius: Briefe nach Königsberg. Hrsg. von Dominik Fugger und Nina Schlüter. München 2013. S. 67
n;G000127;ED;Ferdinand Gregorovius;;Hermann von Thile;;Rom;Berlin;high;;1860-12-16;1860-12-22;;;;H: GSA Weimar, 96/937, 16;1 Dbl., 1 Bl., 8°, 5 S.;Briefe von Ferdinand Gregorovius an den Staatssekretär Hermann von Thile. Hrsg. von Herman von Petersdorff. Berlin 1894. S. 33–37 (gekürzt)
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;Rom;Stuttgart;high;;;;;1861-07-07;bescheinigt hiermit den richtigen Empfang von 72 Fl. 24 x Honorar für die in der Allgemein. Zeitg. erschienenen Artikel über Avignon.;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 39;1 Bl., 8°, 1 ½ S.;
n;G067718;ED;Ferdinand Gregorovius;;Karl Ritter von Scherzer;;Rom;Wien;high;;1862-12-15;1862-12-27;;;;H: Kantonsbibliothek Vadiana St. Gallen, Slg. Robert Alther, VadSlg NL 202 : 83 : 76q;1 Dbl., 8°, 4 S.;
n;;UN;Ferdinand Gregorovius;;Irene Freifrau von Reyer;;Rom;Rom;low;;;;1865-04-09;;ich erwarte Sie und Ihren Herrn Gemal morgen Nachmittag um 3 Uhr in der Villa Ludovisi;H: GhStA Berlin, NL Waldemar Kampf, VI. HA, Karton 59, Mappe 350;1 Dbl., 8°, 1 S.;
n;;UN;J. G. Cotta’sche Buchhandlung;;Ferdinand Gregorovius;;Stuttgart;Rom;high;;;;1867-12-17;1867-12-19;[Honoraranweisung];h: DLA Marbach, Cotta-Archiv, Gelehrten-Copierbuch VI, 730;;
n;;UN;Ferdinand Gregorovius;;Mathilde von Humboldt;;München;München;low;;;;;1875-11-04;Sonnabend [...] was man in der Weite glaubt, ist in der Regel ganz nahe.;H: Biblioteka Jagiellońska Krakau;1 Bl., 12°, 1 S.;
n;;UN;Ferdinand Gregorovius;;Mathilde von Humboldt;;München;München;low;;;;;1875-11-04;Sonntag [...] wir Geschwister bitten Sie sehr heute, wo Sie sonst allein wären, mit uns zu Mittage vorlieb zu nehmen;H: Biblioteka Jagiellońska Krakau;1 Bl., 8°, 1 S.;
;;UN;Ferdinand Gregorovius;;Mathilde von Humboldt;;München;München;low;;;;;1875-11-04;wenn Sie u Frau von M[ünchhausen] sich heute Abend vor 7. Uhr an uns, c’est à dire, meine Geschwister und mich anschließen wollen, so garantiren wir Ihnen wenigstens Bollwerk gegen die Menschenmaßen zu sein;H: Biblioteka Jagiellońska Krakau;VK, 1 S.;
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;München;Stuttgart;low;;;;1875-12-28;1876-01-09;Gleichzeitig erlaube ich mir die Hochgeehrte Buchhandlung zu benachrichtigen, daß ich bis ins künftige Jahr hinein in München bleibe;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 248;1 Bl., 8°, ½ S.;
n;;UN;Ferdinand Gregorovius;;Wolfgang Erhardt;;München;Jenbach;low;;;;1868-08-10;1868-08-20;Ihre Zeilen erhielt ich leider erst heute Nacht, da ich von Starnberg sehr spät zurückgekommen war;H: Murnau am Staffelsee, Privatbesitz Familie Peter Freude (derzeit nicht nachweisbar);;
n;;UN;Marco Minghetti;;Ferdinand Gregorovius;;Rom;Rom;high;;;;1883-01-07;;Questi da Besozzo furono una famiglia di artisti nella sagrestia del duomo di Milano ;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Minghetti, Marco;1 Bl., 8°, 1 S.;
;;UN;Ferdinand Gregorovius;;Manfred Lindemann-Frommel;;München;Karlsruhe;high;1876-02-26;;;;;;H: Universität Würzburg, Martin-von-Wagner-Museum, NL Lindemann-Frommel, L 36–64, XVI;1 Bl., 8°, 1 S.;
n;;UN;Jules Mourier;;Ferdinand Gregorovius;;Tiflis;München;high;1888-12-19;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Mourier, Jules;1 Bl., 8°, 1 ¼ S.;
n;;UN;Laura Minghetti;;Ferdinand Gregorovius;;Rom;Rom;low;1879-05-01;;;;;Il libro che ella volle favorirmi è per me doppiamente prezioso;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Minghetti, Laura;1 Dbl., 8°, 2 ½ S;
n;;UN;Emma Freifrau von Wöhrmann;;Ferdinand Gregorovius;;Venedig;Rom;high;1881-05-18;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Wöhrmann, E.;1 Dbl., 8°, 4 S.;
n;;UN;Ignaz Ritter von Döllinger;;Ferdinand Gregorovius;;München;München;low;1872-11-02;;;;;Zur heutigen Sitzung [...] Samstags 2. Novb [Einladung zu einem Spaziergang vor der Sitzung der Historischen Klasse der Bayerischen Akademie der Wissenschaften];H: BSB München, NL Gregorovius, Gregoroviusiana 21, Döllinger, Ignaz von;1 Dbl., 8°, ¾ S.;
;;UN;Ferdinand Gregorovius;;Hans Prutz;;Rom;Rom;low;;;;1886-05-09;1886-05-23;Herrn Prof. Prutz FERDINAND GREGOROVIUS am ehesten um 3 Uhr zu treffen Hotel Môlaro;H: Schleswig-Holsteinische Landesbibliothek Kiel, Cb 42.55:01,17:01-05, unter Roß, Ludwig (1806–1859);VK, 1 S.;
;ed_nfh_ph2_qtb;ED;Ferdinand Gregorovius;;Elisabeth Seeburg;;München;Aussee;high;1886-08-01;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 20, Seeburg, Elisabeth, 16;BK, 2 S.;
;;UN;Ferdinand Gregorovius;;Minna Gutsch;;München;München;low;;;;1879-00-00;;[Bedauern, einer Einladung wegen einer Erkältung nicht nachkommen zu können];H: Kotte Autographs (Stand August 2021);1 Bl., 8°, 1 ¾ S. + Umschlag;Kotte Autographs (Regest)
;;UN;Ferdinand Gregorovius;;Unbekannt (4);;;Palermo;high;0000-00-00;;;;;bittet, beifolgende Confetto von Palermo nach Adelholzen mitzunehmen;H: BSB München, Autogr., Gregorovius, Ferdinand, 42;VK, 2 S.;
;;UN;Ferdinand Gregorovius;;Emilie Harder;;München;Wiesbaden;low;;;;1876-01-19;;nur ein paar Worte des herzlichsten Dankes für das schöne Gedenken;H: BSB München, Autogr., Gregorovius, Ferdinand, 41;VK, 1 S.;
;;UN;Ferdinand Gregorovius;;Unbekannt (Adolf Friedrich Graf von Schack?);;;München;low;;;;1877-00-00;;herzlichen Dank für Ihre freundlichen Zeilen u Wünsche. Anbei sende ich Ihnen den Dahn’schen Roman;H: Kotte Autographs (Stand August 2021);1 Bl., 8°, 1 S.;Kotte Autographs (Auszug)
;;UN;Ferdinand Gregorovius;;Louisa Cutler Terry;;Rom;Rom;high;0000-00-00;;;;;sehr appelire ich an Ihren Großmuth, weil ich nicht zu Ihrer schönen Soirée gekommen bin.;H: BSB München, Autogr., Gregorovius, Ferdinand, 56;1 Dbl., 8°, 1 S.;
;ed_nyg_ty3_kxb;ED;Ferdinand Gregorovius;;Louisa Cutler Terry;;Rom;Rom;low;;;;;1866-09-00;Sie wünschen einen Lehrer für Ihren Sohn;H: BSB München, Autogr., Gregorovius, Ferdinand, 54;1 Dbl., 8°, 1 S. + Umschlag;
;;UN;Ferdinand Gregorovius;;Charlotte Klumpp;;Stuttgart;Stuttgart;low;;;;;1867-09-08;Es thut mir herzlich Leid, daß Sie leidend sind;H: DLA Marbach, Handschriftenabteilung, B: Gregorovius, Ferdinand, 12.104.1;VK, 2 S.;
