type;name;gnd-id;gnd-url;bemerkungen;gnd-name;lobid-search-url;j-special;j-geburt;j-tod
persName;Julius Pianka, Ferdinand Gregorovius, Leopold Pianka und Gustav Gregorovius;;;;"Pianka, Julius; Gregorovius, Ferdinand; Pianka, Leopold; Gregorovius, Gustav";;1818–1892, 1821–1891, 1820–1870, 1810–1862 ;;
persName;Alfredo d’Andrade, Giovanni Scanzi, Francesco Semino, Maurizio Dufour, Lazzaro Negrotto Cambiaso;;;;"d'Andrade, Alfredo; Scanzi, Giovanni; Semino, Francesco; Dufour, Maurizio; Cambiaso Negrotto, Lazzaro";;1839–1915, 1840–1915,1832–1883, 1826–1897, 1823–1902;;
persName;Ignazio Ciampi, Quirino Leoni, Filippo Cagiati;;;;"Ciampi, Ignazio; Leoni, Quirino; Cagiati, Filippo";;1824–1880, 1828–1897, 1821–1896;;
persName;Karl Lindemann-Frommel, Raffaele Mariano;;;;"Lindemann-Frommel, Karl; Mariano, Raffaele";;1819–1891, 1840–1912;;
persName;Karl Lindemann-Frommel, Gabriella Erhardt;;;;"Lindemann-Frommel, Karl; Erhardt, Gabriella";;1819–1891, 1858–1920;;
persName;Theodor Ackermann;116006064;;;Ackermann, Theodor;;;1827;1911
persName;Adelheid Herzogin von Schleswig-Holstein-Sonderburg-Augustenburg;137649010;;;Adelheid Herzogin von Schleswig-Holstein-Sonderburg-Augustenburg;;;1835;1900
persName;Julia Fedorovna Abaza;;;;Abaza, Julia Fedorovna Abaza;http://lobid.org/gnd/search?q=Julia+Fedorovna+Abaza;;1830;1915
persName;John Emerich Edward Dalberg Acton;118646796;http://d-nb.info/gnd/118646796;;Acton, John Emerich Edward Dalberg;http://lobid.org/gnd/search?q=John+Emerich+Edward+Dalberg+Acton;;1834;1902
persName;Aleardo Aleardi;11864453X;http://d-nb.info/gnd/11864453X;;Aleardi, Aleardo;http://lobid.org/gnd/search?q=Aleardo+Aleardi;;1812;1878
persName;Clemens August Alertz;103106677;http://d-nb.info/gnd/103106677;;Alertz, Klemens August;http://lobid.org/gnd/search?q=Clemens+August+Alertz;;1800;1866
orgName;Accademia dei Quinti, Rom (Präsident);;;;Accademia dei Quinti, Rom;;;;
orgName;Allgemeine Zeitung (Redaktion);4141947-9;http://d-nb.info/gnd/4141947-9;;Allgemeine Zeitung;http://lobid.org/gnd/search?q=Allgemeine+Zeitung+(Redaktion);;;
persName;August Joseph Altenhöfer;116293748;;;Altenhöfer, August Joseph;http://lobid.org/gnd/search?q=August+Joseph+Altenhöfer;;1804;1876
persName;Friedrich Althaus;116010436 ;;;Althaus, Friedrich;http://lobid.org/gnd/search?q=Friedrich+Althaus;;1829;1897
persName;Michele Amari;116297034;http://d-nb.info/gnd/116297034;;Amari, Michele;http://lobid.org/gnd/search?q=Michele+Amari;;1806;1889
persName;Raffaele Ambrosi de Magistris;123436060;;;Ambrosi de Magistris, Raffaele;http://lobid.org/gnd/search?q=Raffaele+Ambrosi+de+Magistris;;1831;1900
persName;Jean-Jacques Ampère;100009670;;;Ampère, Jean-Jacques;http://lobid.org/gnd/search?q=Jean-Jacques+Ampère;;1800;1864
persName;Angelo Angelucci;123253667;http://d-nb.info/gnd/123253667;;Angelucci, Angelo;http://lobid.org/gnd/search?q=Angelo+Angelucci;;1816;1891
persName;Giacomo Antonelli;116016671;http://d-nb.info/gnd/116016671;;Antonelli, Giacomo;http://lobid.org/gnd/search?q=Giacomo+Antonelli;;1806;1876
persName;Giuseppe Antonelli;1050695542;;;Antonelli, Giuseppe;;;1793;1861
